group_id,id,total.minutes,date_arrive,id_count,date
2018-08-04_1101,1101,182.5,04/08/2018,1,2018-08-04
2018-08-04_1103,1103,162.0,04/08/2018,1,2018-08-04
2018-08-04_1124,1124,4.0,04/08/2018,1,2018-08-04
2018-08-04_12,1030_1032,2.0,04/08/2018,2,2018-08-04
2018-08-04_14,1101_1119_1124_2030,100.5,04/08/2018,4,2018-08-04
2018-08-04_2,1102_1104,462.5,04/08/2018,2,2018-08-04
2018-08-04_2030,2030,191.0,04/08/2018,1,2018-08-04
2018-08-04_3,1007_1010_1016_2513_2523_2539_2544_3118_3119,133.44444444444446,04/08/2018,9,2018-08-04
2018-08-04_5,2038_2039,614.5,04/08/2018,2,2018-08-04
2018-08-04_6,1116_1124,535.0,04/08/2018,2,2018-08-04
2018-08-04_7,1121_3041_3077_3117,268.25,04/08/2018,4,2018-08-04
2018-08-04_8,1032_1120,261.0,04/08/2018,2,2018-08-04
2018-08-04_9,1010_1011_1016_2513_2523_2539_2544_3118_3119,14.0,04/08/2018,9,2018-08-04
2018-08-05_10,1007_1009_1010_1011_1016_1031_2513_2539_3119,2.0,05/08/2018,9,2018-08-05
2018-08-05_11,1006_1032,12.0,05/08/2018,2,2018-08-05
2018-08-05_1101,1101,139.0,05/08/2018,1,2018-08-05
2018-08-05_1106,1106,541.0,05/08/2018,1,2018-08-05
2018-08-05_1119,1119,58.0,05/08/2018,1,2018-08-05
2018-08-05_1124,1124,29.0,05/08/2018,1,2018-08-05
2018-08-05_12,1030_3077,74.0,05/08/2018,2,2018-08-05
2018-08-05_13,1101_1119_1124,60.666666666666664,05/08/2018,3,2018-08-05
2018-08-05_14,2542_3142,143.0,05/08/2018,2,2018-08-05
2018-08-05_15,1032_2513,24.0,05/08/2018,2,2018-08-05
2018-08-05_16,1007_1010_2539_2544_3118,15.0,05/08/2018,5,2018-08-05
2018-08-05_17,1006_1007_1008_1009_1010_1011_1016_1030_1031_1032_1101_1124_2513_2523_2539_2544_3118_3119,27.88888888888889,05/08/2018,18,2018-08-05
2018-08-05_2038,2038,108.0,05/08/2018,1,2018-08-05
2018-08-05_2039,2039,187.0,05/08/2018,1,2018-08-05
