group_id,kcal,type,date,group_size,forager_ids
2018-08-03_1106,2952.0,foraging,2018-08-03,1,{'1106'}
2018-08-03_1116,837.8272813787501,foraging,2018-08-03,1,{'1116'}
2018-08-03_1120,2467.3809523333334,foraging,2018-08-03,1,{'1120'}
2018-08-03_1121,891.02142858,foraging,2018-08-03,1,{'1121'}
2018-08-03_1121_1122,674.318181,foraging,2018-08-03,2,"{'1121', '1122'}"
2018-08-03_1122,198.7390625,foraging,2018-08-03,1,{'1122'}
2018-08-03_1124,6059.84,foraging,2018-08-03,1,{'1124'}
2018-08-03_2030,4013.77800866715,foraging,2018-08-03,1,{'2030'}
2018-08-03_2030_2031,9221.25,foraging,2018-08-03,2,"{'2031', '2030'}"
2018-08-03_2031,1231.7375,foraging,2018-08-03,1,{'2031'}
2018-08-03_2039,369.0,foraging,2018-08-03,1,{'2039'}
2018-08-03_2538,263.5,foraging,2018-08-03,1,{'2538'}
2018-08-03_3040,292.2045451,foraging,2018-08-03,1,{'3040'}
2018-08-03_3077,717.9634169499999,foraging,2018-08-03,1,{'3077'}
2018-08-03_3117,290.781762275,foraging,2018-08-03,1,{'3117'}
2018-08-03_3119,117.71428580000001,foraging,2018-08-03,1,{'3119'}
2018-08-03_3142,579.7,foraging,2018-08-03,1,{'3142'}
2018-08-04_1007_1010_1016_2513_2539_2544_3118_3119,483.26136305,foraging,2018-08-04,8,"{'2544', '2539', '1010', '3118', '1007', '1016', '3119', '2513'}"
2018-08-04_1010_1011_1016_2513_2523_2539_2544_3118_3119,1705.0344853,foraging,2018-08-04,9,"{'2544', '2523', '2539', '1010', '3118', '1016', '3119', '1011', '2513'}"
2018-08-04_1032,1557.31965625,foraging,2018-08-04,1,{'1032'}
2018-08-04_1101,299.106,foraging,2018-08-04,1,{'1101'}
2018-08-04_1102,8902.0125,foraging,2018-08-04,1,{'1102'}
2018-08-04_1104,8701.886999999999,foraging,2018-08-04,1,{'1104'}
2018-08-04_1110,1815.0,foraging,2018-08-04,1,{'1110'}
2018-08-04_1116,4859.048828125,foraging,2018-08-04,1,{'1116'}
2018-08-04_1119,20546.01,foraging,2018-08-04,1,{'1119'}
2018-08-04_1120,1167.25,foraging,2018-08-04,1,{'1120'}
2018-08-04_1121,249.255,foraging,2018-08-04,1,{'1121'}
2018-08-04_1122,18468.0,foraging,2018-08-04,1,{'1122'}
2018-08-04_1124,2681.457,foraging,2018-08-04,1,{'1124'}
2018-08-04_2030,2212.180083333333,foraging,2018-08-04,1,{'2030'}
2018-08-04_2031,147.14285725000002,foraging,2018-08-04,1,{'2031'}
2018-08-04_2031_2539,622.9346666666667,foraging,2018-08-04,2,"{'2031', '2539'}"
2018-08-04_2038,6237.0,foraging,2018-08-04,1,{'2038'}
2018-08-04_2039,155.0,foraging,2018-08-04,1,{'2039'}
2018-08-04_2899,1470.0,foraging,2018-08-04,1,{'2899'}
2018-08-04_3040,5346.0,foraging,2018-08-04,1,{'3040'}
2018-08-04_3041,373.8825,foraging,2018-08-04,1,{'3041'}
2018-08-04_3077,56.75954802615625,foraging,2018-08-04,1,{'3077'}
2018-08-04_3117,309.88388320312504,foraging,2018-08-04,1,{'3117'}
2018-08-05_1006,44.9545454,foraging,2018-08-05,1,{'1006'}
2018-08-05_1006_1007_1008_1009_1010_1016_1030_1031_1032_1101_1124_2513_2523_2539_2544_3118_3119,22.4772727,foraging,2018-08-05,17,"{'1124', '2544', '2523', '1101', '2539', '1010', '1032', '1009', '3118', '1031', '1006', '1030', '1008', '1007', '1016', '3119', '2513'}"
2018-08-05_1007_1009_1010_1011_1016_1031_2513_2539_3119,112.3863635,foraging,2018-08-05,9,"{'2539', '1010', '1009', '1031', '1007', '1016', '3119', '1011', '2513'}"
2018-08-05_1007_1010_2539_2544_3118,91.875,foraging,2018-08-05,5,"{'2544', '2539', '1010', '3118', '1007'}"
2018-08-05_1028,460.15745798175,foraging,2018-08-05,1,{'1028'}
2018-08-05_1032,44.9545454,foraging,2018-08-05,1,{'1032'}
2018-08-05_1102,2688.83671875,foraging,2018-08-05,1,{'1102'}
2018-08-05_1102_1104,247.24999970000002,foraging,2018-08-05,2,"{'1104', '1102'}"
2018-08-05_1103,5453.856000000001,foraging,2018-08-05,1,{'1103'}
2018-08-05_1104,6533.35078725,foraging,2018-08-05,1,{'1104'}
2018-08-05_1106,4906.524803,foraging,2018-08-05,1,{'1106'}
2018-08-05_1116,891.6028743,foraging,2018-08-05,1,{'1116'}
2018-08-05_1120,156.31798051250001,foraging,2018-08-05,1,{'1120'}
2018-08-05_1121_3117,529.7142861,foraging,2018-08-05,2,"{'1121', '3117'}"
2018-08-05_1122,2223.0,foraging,2018-08-05,1,{'1122'}
2018-08-05_2030_2031,5236.0,foraging,2018-08-05,2,"{'2031', '2030'}"
2018-08-05_2031,263.5,foraging,2018-08-05,1,{'2031'}
2018-08-05_2039,2499.0,foraging,2018-08-05,1,{'2039'}
2018-08-05_3040,2828.2728749999997,foraging,2018-08-05,1,{'3040'}
2018-08-05_3077,1030.8193333454833,foraging,2018-08-05,1,{'3077'}
2018-08-05_3117,886.4499999999999,foraging,2018-08-05,1,{'3117'}
2018-08-05_3119,61.25,foraging,2018-08-05,1,{'3119'}
