id,date,total.minutes
1103,2018-08-14,0.0
1103,2018-08-15,0.0
1103,2018-08-16,326.0
1103,2018-08-17,0.0
1103,2018-08-18,1936.0
1103,2018-08-19,0.0
1103,2018-08-20,0.0
1103,2018-08-21,0.0
1103,2018-08-22,0.0
1103,2018-08-23,0.0
1103,2018-08-24,0.0
1103,2018-08-25,158.0
1103,2018-08-26,181.0
1103,2018-08-27,0.0
1103,2018-08-28,597.0
1103,2018-08-29,0.0
1103,2018-08-30,331.0
1103,2018-08-31,99.0
1103,2018-09-01,
1103,2018-09-02,0.0
1104,2018-07-23,86.0
1104,2018-07-24,373.0
1104,2018-07-25,307.0
1104,2018-07-26,300.0
1104,2018-07-27,
1104,2018-07-28,0.0
1104,2018-07-29,247.0
1104,2018-07-30,673.0
1104,2018-07-31,0.0
1104,2018-08-01,424.0
1104,2018-08-02,376.0
1104,2018-08-03,335.0
1104,2018-08-04,463.0
1104,2018-08-05,539.0
1104,2018-08-06,0.0
1104,2018-08-07,529.0
1104,2018-08-08,
1104,2018-08-09,0.0
1104,2018-08-10,0.0
1104,2018-08-11,436.0
1104,2018-08-12,0.0
1104,2018-08-13,343.0
1104,2018-08-14,316.0
1104,2018-08-15,0.0
1104,2018-08-16,225.0
1104,2018-08-17,0.0
1104,2018-08-18,0.0
1104,2018-08-19,61.0
1104,2018-08-20,0.0
1104,2018-08-21,401.0
1104,2018-08-22,11.0
1104,2018-08-23,48.0
1104,2018-08-24,255.0
1104,2018-08-25,653.0
1104,2018-08-26,354.0
1104,2018-08-27,0.0
1104,2018-08-28,597.0
1104,2018-08-29,543.0
1104,2018-08-30,0.0
1104,2018-08-31,197.0
1104,2018-09-01,166.0
1104,2018-09-02,492.0
1106,2018-07-23,
1106,2018-07-24,
1106,2018-07-25,
1106,2018-07-26,
1106,2018-07-27,
1106,2018-07-28,
1106,2018-07-29,
1106,2018-07-30,
1106,2018-07-31,
1106,2018-08-01,
1106,2018-08-02,0.0
1106,2018-08-03,0.0
1106,2018-08-04,0.0
1106,2018-08-05,541.0
1106,2018-08-06,0.0
1106,2018-08-07,351.0
1106,2018-08-08,
1106,2018-08-09,0.0
1106,2018-08-10,232.0
1106,2018-08-11,467.0
1106,2018-08-12,0.0
1106,2018-08-13,454.0
1106,2018-08-14,0.0
1106,2018-08-15,166.0
1106,2018-08-16,292.0
1106,2018-08-17,0.0
1106,2018-08-18,451.0
1106,2018-08-19,0.0
1106,2018-08-20,522.0
1106,2018-08-21,0.0
1106,2018-08-22,0.0
1106,2018-08-23,0.0
1106,2018-08-24,339.0
1106,2018-08-25,0.0
1106,2018-08-26,531.0
1106,2018-08-27,0.0
1106,2018-08-28,402.0
1106,2018-08-29,267.0
1106,2018-08-30,192.0
1106,2018-08-31,274.0
1106,2018-09-01,343.0
1106,2018-09-02,481.0
1115,2018-07-23,
1115,2018-07-24,
1115,2018-07-25,0.0
1115,2018-07-26,57.0
1115,2018-07-27,388.0
1115,2018-07-28,187.0
1115,2018-07-29,0.0
1115,2018-07-30,309.0
1115,2018-07-31,0.0
1115,2018-08-01,53.0
1115,2018-08-02,245.0
1115,2018-08-03,0.0
1115,2018-08-04,0.0
1115,2018-08-05,0.0
1115,2018-08-06,0.0
1115,2018-08-07,351.0
1115,2018-08-08,
1115,2018-08-09,0.0
1115,2018-08-10,0.0
1115,2018-08-11,446.0
1115,2018-08-12,79.0
1115,2018-08-13,343.0
1115,2018-08-14,316.0
1115,2018-08-15,0.0
1115,2018-08-16,83.0
1115,2018-08-17,0.0
1115,2018-08-18,0.0
1115,2018-08-19,202.0
1115,2018-08-20,0.0
1115,2018-08-21,401.0
1115,2018-08-22,0.0
1115,2018-08-23,69.0
1115,2018-08-24,255.0
1115,2018-08-25,234.0
1115,2018-08-26,353.0
1115,2018-08-27,0.0
1115,2018-08-28,586.0
1115,2018-08-29,446.0
1115,2018-08-30,0.0
1115,2018-08-31,197.0
1115,2018-09-01,230.0
1115,2018-09-02,493.0
1116,2018-07-23,0.0
1116,2018-07-24,564.0
1116,2018-07-25,0.0
1116,2018-07-26,300.0
1116,2018-07-27,487.0
1116,2018-07-28,239.0
1116,2018-07-29,242.0
1116,2018-07-30,555.0
1116,2018-07-31,91.0
1116,2018-08-01,305.0
1116,2018-08-02,489.0
1116,2018-08-03,347.0
1116,2018-08-04,533.0
1116,2018-08-05,0.0
1116,2018-08-06,437.0
1116,2018-08-07,454.0
1116,2018-08-08,17.0
1116,2018-08-09,466.0
1116,2018-08-10,0.0
1116,2018-08-11,518.0
1116,2018-08-12,342.0
1116,2018-08-13,448.0
1116,2018-08-14,184.0
1116,2018-08-15,431.0
1116,2018-08-16,480.0
1116,2018-08-17,64.0
1116,2018-08-18,424.0
1116,2018-08-19,147.0
1116,2018-08-20,536.0
1116,2018-08-21,477.0
1116,2018-08-22,397.0
1116,2018-08-23,331.0
1116,2018-08-24,419.0
1116,2018-08-25,207.0
1116,2018-08-26,322.0
1116,2018-08-27,328.0
1116,2018-08-28,523.0
1116,2018-08-29,444.0
1116,2018-08-30,0.0
1116,2018-08-31,304.0
1116,2018-09-01,305.0
1116,2018-09-02,512.0
1119,2018-07-23,246.0
1119,2018-07-24,557.0
1119,2018-07-25,355.0
1119,2018-07-26,52.0
1119,2018-07-27,
1119,2018-07-28,
1119,2018-07-29,
1119,2018-07-30,
1119,2018-07-31,0.0
1119,2018-08-01,
1119,2018-08-02,
1119,2018-08-03,
1119,2018-08-04,62.0
1119,2018-08-05,229.0
1119,2018-08-06,619.0
1119,2018-08-07,675.0
1119,2018-08-08,94.0
1119,2018-08-09,28.0
1119,2018-08-10,352.0
1119,2018-08-11,338.0
1119,2018-08-12,
1119,2018-08-13,407.0
1119,2018-08-14,675.0
1119,2018-08-15,185.0
1119,2018-08-16,598.0
1119,2018-08-17,0.0
1119,2018-08-18,1935.0
1119,2018-08-19,0.0
1119,2018-08-20,0.0
1119,2018-08-21,298.0
1119,2018-08-22,
1119,2018-08-23,
1119,2018-08-24,
1119,2018-08-25,0.0
1119,2018-08-26,166.0
1119,2018-08-27,471.0
1119,2018-08-28,518.0
1119,2018-08-29,381.0
1119,2018-08-30,0.0
1119,2018-08-31,326.0
1119,2018-09-01,186.0
1119,2018-09-02,0.0
1120,2018-07-23,61.0
1120,2018-07-24,512.0
1120,2018-07-25,0.0
1120,2018-07-26,300.0
1120,2018-07-27,308.0
1120,2018-07-28,187.0
1120,2018-07-29,244.0
1120,2018-07-30,309.0
1120,2018-07-31,91.0
1120,2018-08-01,53.0
1120,2018-08-02,289.0
1120,2018-08-03,328.0
1120,2018-08-04,261.0
1120,2018-08-05,0.0
1120,2018-08-06,302.0
1120,2018-08-07,493.0
1120,2018-08-08,97.0
1120,2018-08-09,272.0
1120,2018-08-10,362.0
1120,2018-08-11,73.0
1120,2018-08-12,298.0
1120,2018-08-13,111.0
1120,2018-08-14,660.0
1120,2018-08-15,274.0
1120,2018-08-16,596.0
1120,2018-08-17,64.0
1120,2018-08-18,73.0
1120,2018-08-19,351.0
1120,2018-08-20,138.0
1120,2018-08-21,276.0
1120,2018-08-22,266.0
1120,2018-08-23,69.0
1120,2018-08-24,169.0
1120,2018-08-25,234.0
1120,2018-08-26,373.0
1120,2018-08-27,468.0
1120,2018-08-28,518.0
1120,2018-08-29,381.0
1120,2018-08-30,219.0
1120,2018-08-31,324.0
1120,2018-09-01,371.0
1120,2018-09-02,416.0
1121,2018-07-23,
1121,2018-07-24,
1121,2018-07-25,0.0
1121,2018-07-26,197.0
1121,2018-07-27,385.0
1121,2018-07-28,443.0
1121,2018-07-29,393.0
1121,2018-07-30,332.0
1121,2018-07-31,329.0
1121,2018-08-01,439.0
1121,2018-08-02,413.0
1121,2018-08-03,207.0
1121,2018-08-04,297.0
1121,2018-08-05,384.0
1121,2018-08-06,452.0
1121,2018-08-07,0.0
1121,2018-08-08,238.0
1121,2018-08-09,582.0
1121,2018-08-10,27.0
1121,2018-08-11,466.0
1121,2018-08-12,409.0
1121,2018-08-13,463.0
1121,2018-08-14,0.0
1121,2018-08-15,48.0
1121,2018-08-16,469.0
1121,2018-08-17,303.0
1121,2018-08-18,0.0
1121,2018-08-19,245.0
1121,2018-08-20,567.0
1121,2018-08-21,151.0
1121,2018-08-22,403.0
1121,2018-08-23,375.0
1121,2018-08-24,366.0
1121,2018-08-25,0.0
1121,2018-08-26,0.0
1121,2018-08-27,413.0
1121,2018-08-28,527.0
1121,2018-08-29,583.0
1121,2018-08-30,51.0
1121,2018-08-31,473.0
1121,2018-09-01,335.0
1121,2018-09-02,489.0
1122,2018-07-23,
1122,2018-07-24,
1122,2018-07-25,141.0
1122,2018-07-26,0.0
1122,2018-07-27,295.0
1122,2018-07-28,463.0
1122,2018-07-29,391.0
1122,2018-07-30,516.0
1122,2018-07-31,0.0
1122,2018-08-01,480.0
1122,2018-08-02,476.0
1122,2018-08-03,213.0
1122,2018-08-04,0.0
1122,2018-08-05,374.0
1122,2018-08-06,441.0
1122,2018-08-07,307.0
1122,2018-08-08,193.0
1122,2018-08-09,349.0
1122,2018-08-10,492.0
1122,2018-08-11,3.0
1122,2018-08-12,397.0
1122,2018-08-13,342.0
1122,2018-08-14,707.0
1122,2018-08-15,369.0
1122,2018-08-16,93.0
1122,2018-08-17,2399.0
1122,2018-08-18,0.0
1122,2018-08-19,0.0
1122,2018-08-20,0.0
1122,2018-08-21,279.0
1122,2018-08-22,196.0
1122,2018-08-23,367.0
1122,2018-08-24,384.0
1122,2018-08-25,214.0
1122,2018-08-26,171.0
1122,2018-08-27,174.0
1122,2018-08-28,525.0
1122,2018-08-29,291.0
1122,2018-08-30,0.0
1122,2018-08-31,244.0
1122,2018-09-01,127.0
1122,2018-09-02,0.0
1124,2018-07-23,0.0
1124,2018-07-24,542.0
1124,2018-07-25,141.0
1124,2018-07-26,466.0
1124,2018-07-27,456.0
1124,2018-07-28,239.0
1124,2018-07-29,519.0
1124,2018-07-30,557.0
1124,2018-07-31,13.0
1124,2018-08-01,496.0
1124,2018-08-02,613.0
1124,2018-08-03,379.0
1124,2018-08-04,653.0
1124,2018-08-05,119.0
1124,2018-08-06,719.0
1124,2018-08-07,492.0
1124,2018-08-08,45.0
1124,2018-08-09,277.0
1124,2018-08-10,267.0
1124,2018-08-11,824.0
1124,2018-08-12,501.0
1124,2018-08-13,186.0
1124,2018-08-14,385.0
1124,2018-08-15,514.0
1124,2018-08-16,483.0
1124,2018-08-17,2308.0
1124,2018-08-18,0.0
1124,2018-08-19,0.0
1124,2018-08-20,0.0
1124,2018-08-21,486.0
1124,2018-08-22,406.0
1124,2018-08-23,291.0
1124,2018-08-24,474.0
1124,2018-08-25,287.0
1124,2018-08-26,69.0
1124,2018-08-27,330.0
1124,2018-08-28,528.0
1124,2018-08-29,360.0
1124,2018-08-30,191.0
1124,2018-08-31,240.0
1124,2018-09-01,595.0
1124,2018-09-02,52.0
2030,2018-07-23,
2030,2018-07-24,
2030,2018-07-25,
2030,2018-07-26,
2030,2018-07-27,
2030,2018-07-28,
2030,2018-07-29,88.0
2030,2018-07-30,534.0
2030,2018-07-31,537.0
2030,2018-08-01,421.0
2030,2018-08-02,509.0
2030,2018-08-03,526.0
2030,2018-08-04,574.0
2030,2018-08-05,432.0
2030,2018-08-06,261.0
2030,2018-08-07,423.0
2030,2018-08-08,0.0
2030,2018-08-09,365.0
